time,us,acc
15:52:14.762,7380756,42.40
15:52:14.800,7412756,39.40
15:52:14.835,7444768,39.08
15:52:14.873,7476776,37.33
15:52:14.873,7508776,36.92
15:52:14.910,7540784,37.81
15:52:14.947,7572776,37.61
15:52:14.985,7604780,40.78
15:52:15.018,7636780,37.06
15:52:15.054,7668784,40.28
15:52:15.091,7700780,38.59
15:52:15.126,7732788,37.18
15:52:15.126,7764788,37.02
15:52:15.164,7796792,36.47
15:52:15.197,7828788,35.27
15:52:15.234,7860796,35.90
15:52:15.271,7892816,34.56
15:52:15.304,7924820,32.35
15:52:15.337,7956828,38.50
15:52:15.373,7988836,36.44
15:52:15.411,8020836,37.00
15:52:15.448,8052824,39.21
15:52:15.448,8084832,39.45
15:52:15.486,8116832,39.59
15:52:15.521,8148832,35.97
15:52:15.558,8180836,36.48
15:52:15.592,8212852,37.60
15:52:15.628,8244860,36.81
15:52:15.665,8276860,39.91
15:52:15.702,8308860,35.52
15:52:15.702,8340860,37.23
15:52:15.738,8372852,36.02
15:52:15.771,8404844,37.26
15:52:15.806,8436844,44.07
15:52:15.844,8468852,40.37
15:52:15.880,8500848,35.62
15:52:15.917,8532856,34.27
15:52:15.955,8564856,38.04
15:52:15.988,8596864,31.97
15:52:16.022,8628852,35.76
15:52:16.056,8660856,36.75
15:52:16.056,8692860,38.48
15:52:16.094,8724868,39.74
15:52:16.127,8756880,43.48
15:52:16.164,8788888,38.02
15:52:16.201,8820880,40.83
15:52:16.238,8852880,40.44
15:52:16.275,8884876,37.99
15:52:16.312,8916884,38.03
15:52:16.345,8948884,39.08
15:52:16.345,8980892,35.87
15:52:16.382,9012892,34.03
15:52:16.420,9044880,36.58
15:52:16.458,9076888,41.46
15:52:16.494,9108892,39.35
15:52:16.532,9140900,39.21
15:52:16.567,9172900,42.75
15:52:16.567,9204900,39.63
15:52:16.602,9236912,36.10
15:52:16.635,9268912,35.84
15:52:16.672,9300912,36.41
15:52:16.705,9332908,35.29
15:52:16.742,9364912,37.51
15:52:16.779,9396904,37.54
15:52:16.817,9428908,39.58
15:52:16.852,9460908,39.19
15:52:16.888,9492912,39.10
15:52:16.888,9524916,33.47
15:52:16.925,9556904,37.58
15:52:16.962,9588892,35.17
15:52:17.000,9620888,34.99
15:52:17.033,9652892,35.50
15:52:17.071,9684884,31.44
15:52:17.106,9716892,35.59
15:52:17.141,9748904,35.77
15:52:17.175,9780916,38.10
15:52:17.208,9812916,38.74
15:52:17.208,9844916,38.18
15:52:17.241,9876920,37.44
15:52:17.275,9908912,40.26
15:52:17.309,9940916,35.38
15:52:17.343,9972916,34.79
15:52:17.380,10004920,35.54
15:52:17.417,10036936,39.54
15:52:17.455,10068972,37.85
15:52:17.488,10101000,38.62
15:52:17.526,10133020,35.55
15:52:17.561,10165048,39.40
15:52:17.595,10197072,42.26
15:52:17.595,10229100,38.30
15:52:17.631,10261128,35.44
15:52:17.667,10293156,33.74
15:52:17.703,10325176,33.33
15:52:17.740,10357192,34.48
15:52:17.777,10389224,38.31
15:52:17.813,10421240,35.74
15:52:17.850,10453268,36.46
15:52:17.850,10485300,36.61
15:52:17.884,10517324,40.27
15:52:17.921,10549352,37.38
15:52:17.957,10581380,39.38
15:52:17.995,10613400,38.21
15:52:18.031,10645424,36.72
15:52:18.066,10677440,36.35
15:52:18.100,10709468,32.99
15:52:18.135,10741488,36.02
15:52:18.171,10773500,38.59
15:52:18.171,10805520,39.07
15:52:18.207,10837552,38.50
15:52:18.244,10869580,39.94
15:52:18.277,10901600,40.68
15:52:18.311,10933628,37.66
15:52:18.347,10965660,41.60
15:52:18.384,10997672,35.05
15:52:18.420,11029696,37.20
15:52:18.453,11061724,35.65
15:52:18.488,11093752,37.34
15:52:18.488,11125784,34.26
15:52:18.523,11157792,42.85
15:52:18.557,11189820,35.93
15:52:18.591,11221840,40.73
15:52:18.626,11253868,41.98
15:52:18.664,11285896,41.61
15:52:18.701,11317912,39.06
15:52:18.735,11349936,32.88
15:52:18.772,11381972,35.20
15:52:18.809,11414000,34.50
15:52:18.845,11446024,38.31
15:52:18.845,11478052,36.70
15:52:18.883,11510068,36.47
15:52:18.921,11542100,37.17
15:52:18.959,11574128,40.14
15:52:18.993,11606140,37.08
15:52:19.027,11638176,38.93
15:52:19.063,11670200,35.08
15:52:19.101,11702224,36.52
15:52:19.101,11734244,36.96
15:52:19.138,11766276,43.61
15:52:19.176,11798296,35.46
15:52:19.212,11830320,37.30
15:52:19.247,11862336,36.79
15:52:19.284,11894372,38.29
15:52:19.322,11926400,39.01
15:52:19.359,11958408,36.34
15:52:19.359,11990428,38.55
15:52:19.393,12022452,37.63
15:52:19.430,12054480,36.96
